632.0,1318.0,2003.0,2687.0,3371.0,4054.0,4738.0,5422.0,6105.0,6789.0,7473.0,8156.0,8840.0,9524.0,10208.0,10891.0,11575.0,12259.0,12943.0,13626.0,14310.0,14993.0,15676.0,16360.0,17044.0,17728.0,18411.0,19094.0,19778.0,20461.0,21145.0,21828.0,22512.0,23196.0,23879.0,24563.0,25246.0,25930.0,26613.0,27297.0,27980.0,28664.0,29347.0,30031.0,30715.0,31398.0,32082.0,32766.0,33449.0,34133.0,34817.0,35501.0,36184.0,36868.0,37551.0,38234.0,38918.0,39602.0,40286.0,40970.0,41653.0,42337.0,43020.0,43704.0,
420.0,436.0,453.0,469.0,485.0,502.0,518.0,534.0,551.0,567.0,583.0,599.0,616.0,632.0,648.0,665.0,681.0,697.0,714.0,730.0,
791.9927249640135,|787.4125664853904,|784.411747643707,|782.7495235711427,|781.978396727769,|781.4723205566406,|781.2318603328973,|781.0193160404124,|781.1031642528849,|780.9283837368,|780.8113039349197,|779.869722325503,|780.8665935738006,|779.7767809946603,|782.7809625561449,|780.7648161441908,|780.8154369669223,|779.7590084717543,|780.6302675952969,|780.8292874677466,|782.6810633108156,|780.6364495047006,|780.6428612758625,|780.5518385394269,|780.5354101898473,|780.5004924809167,|780.3706346797652,|780.2470369951441,|780.316911236591,|780.1785404310314,|779.9424011043817,|779.8444519042969,|779.8065202345542,|779.8758055894018,|779.7643130241185,|779.6676715069225,|779.5064035584803,|779.4857187066967,|779.4129522947726,|779.369708233288,|779.081637507914,|778.9932198714043,|778.874590952462,|780.7674307633613,|778.7389489036817,|778.5502772899943,|778.6097123732261,|778.5117746522303,|778.3957189157469,|778.2324292477482,|778.0750014745496,|776.9154449369564,|777.7235646845733,|777.5989684125334,|777.6634194843631,|777.5256336457139,|777.4326202672556,|777.2174941130005,|777.0908219923667,|776.9003691600368,|776.9384033016473,|776.7663831798309,|776.6217537509557,|776.485802793357,|
812.1642051020165,|806.3724049792742,|803.3616553257,|801.660731511014,|800.8662870914565,|800.3554877884891,|800.0921723252043,|799.9023811736968,|799.9934879034666,|799.809661025301,|799.6548397519173,|799.7114460329761,|799.752194652499,|799.7059474560099,|799.615844166607,|799.6610402331804,|799.6776008255985,|799.6356595007287,|799.4675082985415,|799.704851902953,|799.5853042835854,|799.4987781769639,|799.4790377835615,|799.4224304759174,|799.4178696378656,|799.3796162736526,|799.235438448938,|799.1440756328244,|799.1594292410288,|799.0524759555082,|798.7673003870412,|798.6785283919868,|798.6238789689651,|798.7343497086738,|798.6011238681432,|798.5475439602446,|798.3767173837084,|798.2820573625944,|798.2471497328638,|798.2188906421719,|797.886271438832,|797.7928750507693,|797.6394737313647,|799.5119945281142,|797.5358054251482,|797.349611988126,|797.4729509732774,|797.3182700620879,|797.1409716124929,|796.9920214731759,|796.832638428481,|796.6573611384867,|796.490078427376,|796.405916359811,|796.4326307197595,|796.2992647970124,|798.2232666948885,|795.9521589833297,|795.8170669975631,|795.6638824742869,|795.6968869083883,|795.4731524639537,|795.3268044381331,|795.2825680420668,|
850.4394066486883,|844.49602982174,|841.2625413247205,|839.5558559406059,|838.685075205765,|838.2359649938181,|837.9944807046779,|837.675422038507,|837.8042978642549,|837.6241306689901,|837.363747879635,|837.456951922962,|837.5018949829475,|837.461105020039,|837.4062408540592,|837.4019233166989,|837.5266992411482,|837.376312722489,|837.1141981772327,|837.4951894217675,|837.4187191837789,|837.3895313134616,|837.2968985181336,|837.1429042991148,|837.1869770015052,|837.141642439256,|836.9970254227292,|836.8663984292873,|836.90858669456,|836.7363058201034,|836.4182082243286,|836.3253905503393,|836.2977973401364,|836.4302685472214,|836.2687937885249,|836.1549986859709,|836.305330422311,|835.9811865197045,|835.9872541981734,|836.1132728506666,|835.5810401286554,|835.3372346370592,|835.1733590688909,|835.1302750613711,|837.2034679727817,|835.04729683319,|834.9369573097346,|834.8514306304652,|834.7254897184692,|834.5983933381714,|834.4896008786076,|834.2213176762292,|834.1009798662378,|833.984831270457,|833.9945974554126,|833.84368607174,|833.6789660905844,|833.5583224515302,|833.2968265638439,|833.1030397560983,|833.1599749177238,|832.9585029998686,|832.8480630577158,|832.7873617283066,|
915.7380530681086,|908.464811739207,|905.9952557765016,|904.1063557196101,|905.2033361965728,|902.7319565519281,|902.4731642230206,|902.2320836618406,|902.2162008023043,|902.0411588802979,|901.7844728242367,|901.822419052824,|901.920511134903,|901.863241679807,|901.7489051935505,|901.9791103911327,|902.0902428116638,|901.7728152960448,|901.5101727126935,|901.9283332474735,|902.1692735397852,|901.7505341042802,|901.7062082086499,|901.5749692771049,|901.6561749659547,|901.6351438749821,|901.3651454353916,|901.1864050068987,|901.2712878305978,|901.192936328573,|902.7481569995938,|900.6104123176784,|899.5570615249308,|900.6852177144555,|900.5280015111334,|900.4112527363162,|900.1609655724388,|900.1439792271418,|900.0081986826859,|899.9728934845064,|899.6661542140016,|899.7737193442995,|899.1392158718284,|899.2208311681718,|899.2369943787928,|898.9885626276699,|899.0089774875466,|898.823157820862,|898.7311402300447,|898.6082954990026,|898.3914408552537,|898.191719358485,|896.9840024428995,|897.8870447374629,|898.1388084108312,|897.7855914287975,|897.4692198027165,|897.2639866633517,|897.1049200868753,|896.8833240194058,|896.9766285747563,|896.6227987213601,|896.5839709360665,|896.3462076449613,|
993.688863865097,|987.0614370176916,|983.5910920775993,|981.3524573089879,|980.2038906459051,|979.8815435473707,|979.3760483301379,|979.1252125031358,|979.1673991818676,|980.9264506768743,|978.7272507787116,|978.9064601699876,|978.9755643792108,|978.7230384196711,|978.6938321641461,|978.9047136685899,|978.950309076805,|978.5988645407767,|978.3959123803935,|979.0380134232547,|980.7732673668351,|978.0871551233694,|978.6092197989834,|978.4248107536853,|978.512576508595,|978.4790662479692,|980.1276405637782,|977.9981921834683,|978.1241789184944,|978.1279775637006,|977.4648096860367,|977.3374159693353,|977.1672130899692,|977.3236797927716,|977.122021689692,|977.0378440366973,|977.1430581002425,|976.7079842943664,|976.5864286743538,|976.6540275363748,|976.2184553700484,|975.8604061581673,|975.6126883503858,|975.6293654135608,|975.7079928803516,|975.6439830535048,|975.4037474652678,|975.1421209212837,|975.0028456008398,|974.9019372222621,|974.6115234561652,|974.3564365398629,|974.1075211737863,|974.1289788575712,|973.9876446738521,|973.7841862203148,|973.6334572888295,|973.3398965724747,|973.4795709545824,|972.9013896790484,|973.3453770442111,|972.6112655966289,|972.4367029032576,|972.3247340024429,|
1074.958051022404,|1067.822510885536,|1063.8588360427716,|1061.5485053106186,|1060.4985023055237,|1059.9231731636444,|1059.608721811837,|1059.3465333524464,|1059.2902902958954,|1059.222106466964,|1058.7658849127067,|1058.952309424724,|1058.970830888194,|1058.8963007095756,|1058.7771576581015,|1058.9045542679066,|1059.0376996614882,|1058.7038171050744,|1060.7814425313875,|1058.8076883951824,|1058.7232854533997,|1058.6372574272505,|1058.4744311224795,|1058.2674307633613,|1058.4857611699936,|1058.2927531671087,|1058.0171276407505,|1058.0941371159452,|1057.7397506667205,|1057.6231691319645,|1057.0938426726455,|1056.915347038059,|1056.6961218224387,|1056.8296704773509,|1055.917701557871,|1056.4359262448932,|1056.1159074415855,|1056.1802567881546,|1055.9089786634534,|1055.8543790764766,|1055.4057989557948,|1055.073197484381,|1054.7159757934944,|1054.5881571638474,|1054.669534572403,|1054.3860994391484,|1054.402851256391,|1054.169963964993,|1054.1218807675423,|1053.760764025767,|1053.4140707126817,|1053.204878687494,|1052.924750931766,|1052.8994125692852,|1052.9011309795787,|1052.5695364949172,|1052.4167182759043,|1053.935545848415,|1051.9192262235401,|1051.619385885536,|1051.5426858791152,|1051.194056053045,|1050.9528090917372,|1050.7584109991699,|
1109.2139268227672,|1101.7448248906967,|1097.707736794008,|1095.2267537248244,|1094.1246268829439,|1093.6042503800231,|1093.2122843797783,|1092.9840444395666,|1092.9493046098528,|1092.6152160831184,|1092.5094644622336,|1092.6260670886493,|1092.565207385142,|1092.4121562246153,|1092.4650485070838,|1092.484261329021,|1092.5399284712764,|1092.3803170580384,|1092.1035417562596,|1092.3316568263808,|1092.1953896805417,|1092.120614428039,|1091.9449411561366,|1091.7773365639036,|1091.7498790495986,|1091.5362141927083,|1091.343379402744,|1091.1401677962838,|1091.119782334074,|1090.7154565280366,|1090.3339514309478,|1090.1255507162953,|1089.8873394607403,|1089.890828077217,|1089.698032577468,|1089.4610809419498,|1089.2234357081422,|1089.0560241139262,|1088.8610630793673,|1088.7464839457007,|1088.2802359204773,|1087.99547509243,|1087.6235344096426,|1087.4374841345925,|1087.2901798913238,|1087.116997021783,|1086.9704345329822,|1086.7548067518694,|1086.6411398791392,|1086.3194729399609,|1086.0046589236013,|1085.6692181041847,|1085.434694529309,|1085.2907550590119,|1085.309534661996,|1085.0004621499904,|1084.7803286864487,|1084.4193216959636,|1084.272746234859,|1083.9290199396441,|1083.751381877001,|1083.4746637840155,|1083.1304800051068,|1082.9769978654494,|
1122.3146855065581,|1114.8797721279507,|1110.7337513961559,|1107.291014598415,|1107.0568508883134,|1106.5245735565093,|1106.1347131758291,|1104.8948497713889,|1105.9355645136002,|1105.6072241173606,|1105.4705811480135,|1105.5047501030317,|1105.5520384435624,|1105.4202541153002,|1105.4239413293494,|1105.4400406117104,|1105.4732539092365,|1105.3745992584695,|1104.978342878709,|1105.1809224819917,|1105.0523261673954,|1104.836360639753,|1104.672866774626,|1104.3795575716445,|1104.354653361376,|1104.1699073161553,|1103.9127225263403,|1103.5850556633159,|1103.5900128565797,|1103.1124691277832,|1102.8369664183451,|1102.437117550351,|1102.149897210824,|1102.0946828859662,|1105.9633769464056,|1101.6073407747695,|1101.398355746488,|1101.1635533137423,|1100.882306300172,|1100.6963354454856,|1100.2125922620114,|1099.8960404235654,|1099.4764189647242,|1099.3588703867129,|1099.1325224430188,|1098.8399731930608,|1098.7245364874511,|1100.4923381280462,|1098.3151899331936,|1098.0631394692516,|1097.7052783091133,|1097.290295895451,|1096.9594773225463,|1096.8395003105886,|1096.8269590791942,|1096.5011522952204,|1096.3022861305726,|1097.7836665815535,|1095.6720664114762,|1095.3358158029912,|1095.196615049963,|1094.7228957243287,|1094.5484865521073,|1094.2847403896694,|
1153.3250091272757,|1146.642781295543,|1142.522872504838,|1138.9772460190893,|1138.6910043885584,|1138.0614600691956,|1137.9301040136122,|1136.3662645065822,|1136.4629771381344,|1137.1231910635572,|1137.002183360062,|1137.082366103426,|1136.9945896160348,|1136.850049220094,|1136.9575020793015,|1136.8312839893026,|1136.9210154682125,|1136.8662502277152,|1136.3000239101025,|1136.4156810515517,|1135.353401860695,|1136.0248521344013,|1135.7800593478235,|1135.5494931655558,|1135.5603962469538,|1135.408795184681,|1134.7643860983192,|1134.4468163539875,|1134.368929988383,|1133.9307264042193,|1133.349190341588,|1132.9193466139861,|1132.809729993161,|1132.5787652158592,|1132.2283631304354,|1131.995340796421,|1131.713886505967,|1131.447266651585,|1130.0393187729956,|1130.7445216747599,|1130.284151596396,|1129.8300233426808,|1128.3910756709015,|1129.0634748826333,|1128.999894075073,|1128.5916439138057,|1127.3758936890767,|1128.0873680931347,|1126.8620492544378,|1127.501586260781,|1127.133985793554,|1126.6552553322701,|1126.3851393953375,|1126.1831267470614,|1125.9731898876505,|1125.6044292858253,|1125.3962295952192,|1123.9506981525947,|1124.644881222226,|1123.2599682355874,|1123.144753832336,|1123.613070240079,|1123.4846671101516,|1123.3487699082868,|
1186.4770715929317,|1179.7201408362898,|1175.2920158922855,|1172.6905954343463,|1171.383134381122,|1170.925355683773,|1169.4725775762436,|1170.033742455532,|1170.3372049594145,|1168.8767045047305,|1168.694394732834,|1169.7845945212455,|1169.576939947379,|1169.8548511190152,|1169.5464575531287,|1169.8288987652606,|1169.6260695151234,|1168.3691411849557,|1168.8975929936867,|1169.079862168805,|1168.9780656073801,|1168.658837088022,|1168.2359389558844,|1167.9118335035598,|1167.965554333608,|1167.7480500480815,|1167.149064930207,|1166.7804090400718,|1166.8211558864023,|1170.2510368510489,|1164.4914491052657,|1165.3129454446496,|1164.8688201437667,|1163.6637380057518,|1163.3215020322655,|1163.9246469666834,|1163.791475815146,|1163.4574003540413,|1163.025450726897,|1162.6971717391175,|1162.1616610372469,|1160.669203452014,|1161.153022416141,|1160.9210970350725,|1160.6986173577266,|1160.2925400106915,|1160.0524997536195,|1159.678084347226,|1158.3273262233909,|1159.0585150762436,|1158.4916423832606,|1158.2194520909488,|1156.769176051522,|1157.5790408073215,|1157.4849817118513,|1157.0169647870077,|1156.7054301503965,|1156.2786586189852,|1155.8199940719371,|1155.4292535344396,|1154.1726474586976,|1153.8952014234817,|1153.5448795050293,|1154.2041408527152,|
1253.2133914119242,|1243.3432777708094,|1238.760582506839,|1235.938631016909,|1234.4929959825056,|1233.0207305814877,|1232.7250481935087,|1233.1681203113055,|1233.104068954421,|1232.0323872697463,|1231.7558007663179,|1231.8669581048714,|1232.6067617807184,|1232.6656713456553,|1232.649627498895,|1232.7250829107536,|1233.1355404168457,|1232.3430144983695,|1231.7159567550052,|1232.0709479562368,|1232.291379876093,|1231.8175649847094,|1230.3959958137723,|1231.095885950491,|1231.0923454447989,|1230.6977496132574,|1229.977463375173,|1229.6735326551152,|1228.7425896414195,|1229.4616420174227,|1227.2535480650922,|1228.0491786571818,|1226.7497510064268,|1226.4332826946854,|1226.1560104323455,|1226.8011404614929,|1226.4462424928624,|1226.2000814548692,|1225.6875797003418,|1225.2901697187979,|1224.8335757007658,|1224.040547782128,|1223.6892826185315,|1223.5893279376016,|1223.5558342889908,|1223.0089915797616,|1222.469474862475,|1220.9674701282372,|1221.9245973172901,|1221.6498809721127,|1220.9321029616424,|1220.7243569283676,|1219.3810502265208,|1220.2624264405044,|1218.97323916374,|1219.4767660438467,|1218.9415003225345,|1218.407832341092,|1217.9792842573347,|1217.4883606703638,|1217.4112880135165,|1216.8990954477852,|1216.8259222281454,|1216.5479419019973,|
